Filepath (SharkShark),Subject #,Recording #
/media/scott2X/PSR_Data/PSR_07/PSR_07_Rec2_230915_135414/,7,1
/media/scott2X/PSR_Data/PSR_15/PSR_15_Rec2_231010_171850/,15,1
/media/scott2X/PSR_Data/PSR_16/PSR_16_Rec2_231011_173634/,16,1
/media/scott2X/PSR_Data/PSR_17/PSR_17_Rec2_231012_124907/,17,1
/media/scott2X/PSR_Data/PSR_17_Day2/PSR_17_Rec2_231013_180431/,17,2
/media/scott2X/PSR_Data/PSR_18/PSR_18_Rec2_231016_190216/,18,1
/media/scott2X/PSR_Data/PSR_20/PSR_20_Rec2_231019_152639/,20,1
/media/scott2X/PSR_Data/PSR_22_Day1/PSR_22_Rec2_231215_113847/,22,1
/media/scott2X/PSR_Data/PSR_23/PSR_23_Rec2_231213_153523/,23,1
/media/scott2X/PSR_Data/PSR_24/PSR_24_Rec2_231208_162349/,24,1
/media/scott2X/PSR_Data/PSR_25/PSR_25_Rec2_First35min/,25,1
/media/scott2X/PSR_Data/PSR_26/PSR_26_Rec2_250113_150605/,26,1
/media/scott2X/PSR_Data/PSR_27_Day1/PSR_27_Rec2_250115_141347/,27,1
/media/scott2X/PSR_Data/PSR_27_Day2/PSR_27_Day2_Rec2_250116_132559/,27,2
/media/scott2X/PSR_Data/PSR_29_Day1/PSR_29_Day1_Rec2_250120_121639/,29,1
/media/scott2X/PSR_Data/PSR_29_Day2/PSR_29_Day2_Rec2_First40min/,29,2
/media/scott2X/PSR_Data/PSR_30_Day1/PSR_30_Day1_Rec2_250125_152426/,30,1
/media/scott2X/PSR_Data/PSR_31_Day1/PSR_31_Day1_Rec2_250131_124431/,31,1
/media/scott2X/PSR_Data/PSR_32_Day1/PSR_32_Day_Rec1_250127_135424/,32,1
/media/scott2X/PSR_Data/PSR_32_Day2/PSR_32_Day2_Rec2_250129_132236/,32,2
/media/scott2X/PSR_Data/PSR_34_Day1/PSR_34_Day1_Rec2_250207_124548/,34,1
/media/scott2X/PSR_Data/PSR_34_Day2/PSR_34_Day2_Rec1_250208_135034/,34,2
/media/scott2X/PSR_Data/PSR_35_Day1/PSR_35_Day1_Rec1_250208_183557/,35,1
/media/scott2X/PSR_Data/PSR_35_Day2/PSR_35_Day2_Rec2_250209_094602/,35,2
/media/scott4X/PSR_Data_Ext/PSR_36_Day1/PSR_36_Day1_Rec2_250209_162046/,36,1
/media/scott4X/PSR_Data_Ext/PSR_36_Day2/PSR_36_Day2_Rec2_250210_085133/,36,2
/media/scott4X/PSR_Data_Ext/PSR_37_Day1/PSR_37_Day1_Rec2_250210_200204/,37,1
/media/scott4X/PSR_Data_Ext/PSR_37_Day2/PSR_37_Day2_Rec2_250211_120424/,37,2
/media/scott4X/PSR_Data_Ext/PSR_38_Day1/PSR_38_Day1_Rec2_250211_203755/,38,1
/media/scott4X/PSR_Data_Ext/PSR_38_Day2/PSR_38_Day2_Rec1_250212_174519/,38,2
/media/scott4X/PSR_Data_Ext/PSR_39_Day1/PSR_39_Day1_Rec2_250213_174522/,39,1
/media/scott4X/PSR_Data_Ext/PSR_39_Day2/PSR_39_Day2_Rec1_250214_153804/,39,2
/media/scott4X/PSR_Data_Ext/PSR_40_Day1/PSR_40_Day1_Rec2_250214_225128/,40,1
/media/scott4X/PSR_Data_Ext/PSR_40_Day2/PSR_40_Day2_Rec1_250215_173210/,40,2
/media/scott4X/PSR_Data_Ext/PSR_41_Day1/PSR_41_Day1_Rec2_250219_185940/,41,1
/media/scott4X/PSR_Data_Ext/PSR_41_Day2/PSR_41_Day2_Rec2_250220_104022/,41,2
/media/scott4X/PSR_Data_Ext/PSR_41_Day3/PSR_41_Day3_Rec2_MinusLastRHD/,41,3